topic,min_p,optimal_lag,significant
topic_20,0.0008561164131054326,1,True
topic_1,0.0017368427538612318,4,True
topic_8,0.007741239822990251,4,True
topic_10,0.01336210527140223,1,True
topic_16,0.020747271326152342,4,True
topic_21,0.03046035726315715,1,True
topic_2,0.03999911063653812,2,True
topic_12,0.04689556961808919,4,True
topic_24,0.060769614075442305,1,False
topic_25,0.06534647955761191,1,False
topic_17,0.07453567883370205,1,False
topic_6,0.11868418959977974,4,False
topic_9,0.11877067289345511,4,False
topic_14,0.17952518624464836,1,False
topic_23,0.18633992870923005,1,False
topic_19,0.20432699417260441,2,False
topic_5,0.23691969051521758,4,False
topic_15,0.2738691898253439,1,False
topic_13,0.33510283528635854,4,False
topic_7,0.342640918018434,3,False
topic_22,0.3659728941571193,1,False
topic_4,0.4378829376212823,4,False
topic_18,0.6507605667223854,1,False
topic_11,0.7665331104860814,2,False
topic_3,0.8839600388267582,2,False
